NDC,Cellular Operator,Telecom Circles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,J,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,J,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7002,J,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003,J,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004,J,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7005,J,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7006,J,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,J,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7008,J,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7009,J,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7010,J,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7011,J,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7012,J,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7013,J,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7014,J,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7015,J,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7016,J,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7017,J,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7018,J,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,J,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020,J,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7021,J,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7022,A,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023,A,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7024,A,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7025,I,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7026,I,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7027,V,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7028,A,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7029,R,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7030,V,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7031,C,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7032,A,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033,A,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7034,V,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7035,C,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7036,I,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7037,U,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7038,I,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7039,I,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7040,C,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7041,U,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7042,A,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7043,A,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7044,A,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7045,V,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7046,I,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7047,D,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7048,T,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7049,I,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7050,U,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7051,A,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7052,I,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7053,C,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7054,A,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7055,I,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7056,I,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7057,I,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7058,U,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7059,C,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7060,A,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7061,R,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7062,C,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7063,A,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7064,V,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7065,I,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7066,V,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7067,R,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7068,U,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7069,V,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7070,A,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7071,C,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
